t(s),Flux surface 1: solute,Flux surface 2: solute,Average T volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1
0.1,-2.3909883101956685e+18,2.4055429960256724e-282,299.9999999999997,1.0011721842816051e+18,8.167461860776457e+17,3.951997696054524e+17,1.2890290268424454e+16
0.21000000000000002,-3.0642988896806687e+18,1.350070975907104e-282,299.9999999999997,2.069710145453947e+18,1.6884490318054623e+18,8.169914730304663e+17,2.6974706959427736e+16
0.33100000000000007,-4.3324980130850304e+18,7.381221970537161e-282,299.9999999999997,3.175524851595809e+18,2.5905619683235364e+18,1.253497737054448e+18,4.225490024378438e+16
0.46410000000000007,-6.615263279528835e+18,1.4577886909436722e-281,299.9999999999997,4.254227312682321e+18,3.4705567851746115e+18,1.679301684002654e+18,5.865222603767478e+16
0.6105100000000001,-9.7375744354305e+18,4.734273706399615e-281,299.9999999999997,5.233917396765128e+18,4.2697780036801423e+18,2.066021630136124e+18,7.606007673442986e+16
0.7715610000000002,-1.2613717287705387e+19,-7.760908088118181e-281,299.9999999999997,6.102418419061496e+18,4.978292226134751e+18,2.408851093698688e+18,9.44953682633586e+16
0.9487171000000002,-1.4636108887359724e+19,3.5163032932040986e-280,299.9999999999997,6.896335509092682e+18,5.625961705341663e+18,2.7222395526690657e+18,1.1407500201949347e+17
1.1435888100000002,-1.5978929824419178e+19,-5.844146129369636e-280,299.9999999999997,7.651870911318283e+18,6.24231988119727e+18,3.020477381331488e+18,1.3491383851588467e+17
1.3579476910000003,-1.6927587249047222e+19,-3.006036086054884e-279,299.9999999999997,8.391498077043512e+18,6.845700337760624e+18,3.3124356686482427e+18,1.5710128029025315e+17
1.5937424601000005,-1.7652138929354312e+19,4.3623063989988655e-280,299.9999999999997,9.128309360647484e+18,7.44678366079009e+18,3.6032824398962924e+18,1.8071201992294944e+17
1.8531167061100007,-5.78610050663976e+16,1.3653920145746829e-281,299.9999999999997,9.133850903816349e+18,7.451317807224799e+18,3.6054764448114284e+18,1.808935397322015e+17
2.138428376721001,-250494930754515.72,-2.598908588067888e-283,299.9999999999997,9.133865256870277e+18,7.451344653192355e+18,3.605489505992098e+18,1.8089462585906774e+17
2.452271214393101,-32229240622249.61,4.4602372339737045e-283,299.9999999999997,9.133849634874871e+18,7.451348560878781e+18,3.60549147513067e+18,1.808947908438906e+17
2.7974983358324113,-31418721138674.113,2.0868521804030262e-283,299.9999999999997,9.133832312638822e+18,7.45135274840782e+18,3.605493587517369e+18,1.8089496786482336e+17
3.1772481694156527,-31415350476420.25,-6.980875054086466e-283,299.9999999999997,9.133813257996119e+18,7.451357354178961e+18,3.6054959108941353e+18,1.8089516256726627e+17
3.594972986357218,-31414701654673.355,-3.6336672052598974e-283,299.9999999999997,9.133792298311965e+18,7.45136242042369e+18,3.6054984665566915e+18,1.8089537673575363e+17
4.05447028499294,-31413997619227.094,1.3961071181837956e-284,299.9999999999997,9.133769243173272e+18,7.451367993169443e+18,3.605501277723593e+18,1.808956123160797e+17
4.5599173134922335,-31413223265331.645,1.4176755202045971e-283,299.9999999999997,9.133743883142385e+18,7.45137412304038e+18,3.605504369932281e+18,1.8089587144837738e+17
5.115909044841457,-31412371545775.73,-4.2424026832653805e-283,299.9999999999997,9.133715987860641e+18,7.451380865717714e+18,3.605507771271199e+18,1.8089615648657155e+17
5.727499949325603,-31411434738537.465,-4.1206790638724657e-283,299.9999999999997,9.13368530396083e+18,7.451388282444098e+18,3.6055115126343583e+18,1.8089647001971283e+17
6.400249944258164,-31410404352528.977,-7.468116401803741e-283,299.9999999999997,9.133651552772135e+18,7.451396440578594e+18,3.6055156280011725e+18,1.8089681489543347e+17
7.140274938683981,-31409271051261.223,-5.155317679688099e-283,299.9999999999997,9.133614427796738e+18,7.451405414206438e+18,3.605520154744161e+18,1.8089719424573837e+17
7.95430243255238,-31408024569080.24,-5.21618137672165e-283,299.9999999999997,9.133573591935628e+18,7.451415284809838e+18,3.605525133967252e+18,1.808976115153605e+17
8.84973267580762,-31406653619190.043,-5.2963639364939174e-284,299.9999999999997,9.133528674438325e+18,7.451426142005114e+18,3.6055306108777114e+18,1.8089807049293494e+17
9.834705943388382,-31405145792673.965,-1.503471587258716e-283,299.9999999999997,9.133479267550461e+18,7.451438084353065e+18,3.605536635194983e+18,1.8089857534526717e+17
10.918176537727222,-31403487447655.715,-4.30326795872186e-283,299.9999999999997,9.133424922827899e+18,7.45145122025012e+18,3.605543261600119e+18,1.8089913065500787e+17
12.109994191499945,-31401663587663.273,-4.30326795872186e-283,299.9999999999997,9.133365147085955e+18,7.45146566890729e+18,3.6055505502297405e+18,1.808997414620606e+17
13.42099361064994,-31399657728176.188,-3.633742931569646e-283,299.9999999999997,9.133299397946968e+18,7.451481561426568e+18,3.605558567219041e+18,1.809004133090956e+17
14.863092971714936,-31397451750246.07,-3.3294116679484717e-283,299.9999999999997,9.133227078947374e+18,7.451499041983657e+18,3.6055673852984346e+18,1.8090115229156902e+17
16.44940226888643,-31395025739985.625,-5.094542136226137e-283,299.9999999999997,9.133147534160855e+18,7.451518269127773e+18,3.605577084449244e+18,1.8090196511269248e+17
18.194342495775075,-31392357812617.29,-5.15540899609185e-283,299.9999999999997,9.13306004229064e+18,7.451539417209582e+18,3.6055877526241654e+18,1.8090285914383485e+17
20.113776745352585,-31389423919665.055,-7.650961381863315e-283,299.9999999999997,9.13296381017871e+18,7.451562677950352e+18,3.6055994865388073e+18,1.8090384249088234e+17
