K 5th I-TDS	Des D 50eV	err Des D+mask final
T sample	D m-2 s-1	
5th I-TDS	5th I-TDS	5th I-TDS
677.361235233127	5.40955630705357E15	2.23110944339164E15
679.229440966736	840042078912293	1.98208703284947E15
680.608312831465	4.71935441559052E15	2.23730640424229E15
682.252108419434	1.00029190296296E15	2.00194760615634E15
683.983210111254	2.27090410188957E15	2.01353119488694E15
685.181127961828	932887601788425	2.06007029322521E15
686.822629559354	1.1424075617926E15	1.94836495661267E15
688.506219056331	-107003480312224	1.84131213693624E15
690.012078277405	2.35718699722432E15	2.02794550747215E15
690.808836196685	1.44523545463164E15	1.95671014314568E15
693.77211574183	2.28257573299313E15	2.04493164599816E15
694.745185558249	1.18352774241024E15	1.89887979582502E15
696.335916225725	-187964715394933	1.77532463045982E15
698.05799974308	1.06946592395438E15	1.89601350173647E15
699.249936420068	2.626502697099E15	1.95686679810675E15
700.970597287748	1.24315301723251E15	1.88224728357214E15
702.51453130246	494641129750842	1.92897837126479E15
704.013905353511	548774315745485	1.81550340568472E15
705.821460389086	1.51564668246593E15	1.9086533415524E15
707.539434770214	1.1917864107281E15	1.8389274127223E15
709.081114769549	504361205128604	1.75314813439281E15
710.622354885874	394749465284378	1.88761519811697E15
712.119283537304	-374371289451081	1.80543669924933E15
713.835327010792	422909943755412	1.77762977668849E15
715.771356741814	-7210339421504.25	1.64748768707506E15
717.135563642477	-301287077200494	1.70636553968528E15
718.542425367583	-778629395079257	1.69909781780204E15
720.213242637629	-181667607165875	1.76787197154381E15
722.060217133357	-861132986646119	1.6946833727464E15
723.642842274644	158786811408064	1.79936128546297E15
725.006080152883	-722763651913736	1.59043031800678E15
726.851473630897	-928483455453626	1.69157057466716E15
728.214499835799	-1.82317791986714E15	1.55548256830078E15
730.060670650202	-893019842316999	1.55907594645875E15
731.422587530857	-468989162327042	1.75286197575646E15
733.004659376781	-943510609704256	1.73396418385107E15
734.938415262969	-1.65545705396834E15	1.62999045952288E15
736.476682518842	-700932790758395	1.65209972833865E15
738.058839185426	-925281463103507	1.50135793292221E15
739.597231047017	-957688568353693	1.51300737538289E15
741.135716160987	-366331865114084	1.69242490239004E15
742.454080100842	341794382572271	1.75319333679684E15
744.520012558607	-683355062418688	1.61413808637046E15
746.543362593279	-1.88092690556498E15	1.54484355049409E15
747.862192574208	-1.52013747457816E15	1.50086295776137E15
749.576985347427	-285928397456344	1.67017951279625E15
750.984906231141	-1.56644628864515E15	1.45618573415255E15
752.920610499113	-1.38227044376727E15	1.52069582792767E15
754.240221498521	-1.36818095014823E15	1.50045649029949E15
755.824404539082	-1.34837549988042E15	1.53013915802324E15
757.408875451435	-1.27960064388621E15	1.43438614866185E15
758.730163471185	-1.19284919781602E15	1.53880937901829E15
760.534813629345	-1.14794878261318E15	1.54298414171597E15
762.25301991044	-1.15345347989811E15	1.40992060580421E15
763.926684372596	-1.22832263672247E15	1.53263211623146E15
765.732606392905	-1.19121093330435E15	1.40912067907192E15
767.055384074711	-1.16474571315006E15	1.45065002205823E15
768.818159683781	-1.1661396798238E15	1.50045688066174E15
770.44944793895	-1.16826862694648E15	1.53031300598139E15
772.082150068528	-1.18903258520419E15	1.476682633248E15
774.022346131104	-1.15928653110263E15	1.47585693213613E15
775.258787827559	-1.13397714077206E15	1.44465076109102E15
777.111918412613	-1.17235376776582E15	1.47595116620833E15
778.790433474285	-1.10884786077604E15	1.46042606893007E15
780.336246082835	-1.13662607767662E15	1.47430474476825E15
782.058741297153	-1.1078300618215E15	1.46823072827116E15
783.64949373845	-984216789864069	1.47560764601957E15
785.350916283042	-976386621574887	1.32779652051293E15
786.699982771114	-871640081968229	1.38786482525196E15
788.51259493871	-798347590791390	1.4139540174019E15
790.238510839991	-743496684457724	1.36351679249621E15
792.008081196017	-769442574169620	1.37383726836322E15
793.601554915051	-731242332938234	1.4799720890718E15
795.195461853222	-637758466220727	1.40602994923023E15
797.011715597253	-447930186050020	1.43407637126492E15
798.739126755872	-342714122812692	1.38854203586867E15
800.245995389795	-336499237135535	1.49261843692563E15
801.885892915705	-216472035148528	1.46347741706845E15
803.305078630667	-204676330051077	1.48176457288606E15
805.078509202333	-161538422032771	1.30893062552351E15
806.897695120112	-127017251790158	1.24612849928536E15
808.362265131525	-78067906391912.8	1.35413669276521E15
810.004257412011	-79045164350752.5	1.42742142372562E15
811.335651648614	-46495318722491.5	1.45431675968247E15
813.600516698994	-24657942795247.6	1.37106256836272E15
815.021207317664	-23556648103727.2	1.37945486427395E15
816.931669099718	0	1.39055001703856E15
818.531308408859	0	1.26086118903006E15
820.042602003291	0	1.41618757829319E15
822.576154534777	0	1.35944216081743E15
823.910752484808	0	1.24621562881381E15
825.333264297955	0	1.31794939711415E15
827.068595668292	0	1.27227314972078E15
828.891977071296	0	1.3040245395185E15
830.716679947752	0	1.33206239439094E15
832.274313588181	0	1.39173224987083E15
833.965336310198	0	1.34837423774689E15
835.612170954537	0	1.1835393792459E15
837.437830767866	0	1.43167245678683E15
838.68432274733	0	1.3009990073461E15
840.776803345403	0	1.38340222167584E15
842.469714629373	0	1.38767943655663E15
844.294994858934	0	1.32813977604378E15
845.809411576504	0	1.30560660472628E15
847.50158512942	0	1.31174027914099E15
849.461373289823	0	1.23223817583672E15
851.020339931414	0	1.31395709124646E15
852.446026596578	0	1.4443047344132E15
854.227102322883	0	1.24895848255843E15
855.919278653139	0	1.29977224131153E15
857.656814865216	0	1.2518820466616E15
858.948039448615	0	1.38379795441646E15
861.129534533987	0	1.25200998478176E15
862.822271347201	0	1.38013978197799E15
864.425011912144	0	1.39021436605256E15
866.160774715479	0	1.40070963729974E15
867.674327249977	0	1.33680862169106E15
869.187678895828	0	1.32459752288582E15
871.101246545569	0	1.31670679046183E15
872.702816163051	0	1.28929494496029E15
874.659995739597	0	1.3864991917863E15
876.438278378136	0	1.28870221014183E15
878.08310579748	0	1.19992501866419E15
879.683205715527	0	1.41397948882146E15
881.372548538232	0	1.25008699100785E15
882.88218028664	0	1.29312177166424E15
884.880640936283	0	1.25606370440945E15
886.568432422759	0	1.35707348183549E15
888.210395160935	0	1.36629782618005E15
889.58531161964	0	1.3138831518736E15
891.44838975579	0	1.26936490990283E15
893.310681557311	0	1.26358461142365E15
895.171144351614	0	1.32661980661233E15
896.899236647793	0	1.26546920247084E15
898.360632929978	0	1.27124208072033E15
900.262798000127	0	1.32628458539693E15
901.944408320264	0	1.33881200425405E15
903.358653088819	0	1.26890334628571E15
905.170937009196	0	1.20989659132435E15
906.981203267115	0	1.43405221921315E15
908.570328649229	0	1.28203108624684E15
910.114623937389	0	1.46691481221078E15
911.658110078653	0	1.18148336733309E15
914.126551396189	0	1.18064912290716E15
915.799562145414	0	1.23696069848934E15
916.8551392565	0	1.45857441222709E15
918.394843201091	0	1.27709972313455E15
920.505448886404	0	1.22630806981402E15
922.174336250143	0	1.21575745586118E15
923.798313220944	0	1.3344996560559E15
925.465916918993	0	1.34355094032572E15
927.08762848948	0	1.40256824180226E15
928.839212651024	0	1.35477758971461E15
930.327576258867	0	1.29559834371971E15
932.470033698011	0	1.40996592831433E15
934.043044326877	0	1.25312004463418E15
936.35682938001	0	1.21226491150902E15
937.796434937221	0	1.23476627523609E15
939.408839043239	0	1.28937067213371E15
940.889675333116	0	1.32677203339472E15
942.977721454776	0	1.23549953544208E15
943.847976636982	0	1.12655088940157E15
945.671951529589	0	1.28138383918592E15
947.322045397252	0	1.16098141050651E15
949.142620476456	0	1.37811388107475E15
