K 4th I-TDS	Des D 50eV	err final
T sample	D m-2 s-1	D m-2 s-1
4th I-TDS	4th I-TDS	4th I-TDS
429.909177547857	1.00399568637549E17	2.11771710735136E15
432.133124294523	1.02062325167554E17	2.17695787933494E15
433.919646727797	1.01331962433972E17	2.21815652831792E15
436.009527326941	9.95825362814347E16	2.2970363871143E15
438.031189504781	1.03062954938485E17	2.27904240262904E15
439.866093382438	1.09480613072722E17	2.31781506817693E15
441.634333610046	9.87563761873945E16	2.2301080653065E15
443.823878583676	1.00175531398239E17	2.33555754591028E15
445.643043668207	1.05823694647344E17	2.38348495024179E15
447.760335724413	1.07084188936317E17	2.28968653166174E15
449.389315783204	9.54604404474489E16	2.36150434627496E15
451.736661454233	1.00232419227877E17	2.3438777565362E15
452.996471090625	9.91799902706814E16	2.35854727054229E15
455.151701503815	8.74215253983662E16	2.36131264973563E15
456.823277687118	9.87427913491983E16	2.36042674728562E15
458.907465220983	9.54012162477199E16	2.38616519135011E15
460.748854964401	1.00441273821326E17	2.43153618407882E15
462.407004692996	9.63143414888592E16	2.36342093606331E15
464.827264711861	8.61623103229141E16	2.37584025250857E15
466.18222442991	8.99636920832553E16	2.42680220742367E15
468.472142593577	8.840235302992E16	2.42519222841877E15
470.462829790466	8.7829460818522E16	2.34969426795595E15
472.155563210455	8.06726361904909E16	2.38372766009267E15
473.961342794512	8.45488963081156E16	2.37213515685379E15
475.587352240108	8.2962995530875E16	2.29584230250273E15
477.729935568693	8.71692370593181E16	2.37787216481739E15
479.635582936776	7.46284688645274E16	2.34045212188441E15
481.24764493264	8.59169783241494E16	2.38748383899182E15
483.200271192434	7.7863587207036E16	2.35844146882586E15
484.974667780255	7.83131364175764E16	2.27854605809847E15
486.402849444109	8.04937524981654E16	2.30434250763086E15
488.169776502992	7.69188560165321E16	2.29350589047156E15
490.100346450635	7.76795572259172E16	2.27842942672839E15
491.630106896396	7.21134754719673E16	2.22523661974521E15
493.213804163059	7.28179549346591E16	2.24295222840737E15
495.748990801325	7.1977118494432E16	2.23129295664483E15
497.15207809379	7.60278496642681E16	2.25581142083181E15
498.833719205123	8.10554112006735E16	2.1604856657543E15
500.789149922955	6.85745210674547E16	2.24569878986613E15
502.626328190769	7.79006185893218E16	2.1761883699384E15
503.960123852209	7.46103967909163E16	2.16945727798002E15
506.065245395372	7.12342304333204E16	2.17871739206133E15
507.556899315015	6.68849540206603E16	2.14504811997831E15
509.430506948944	6.95625542136109E16	2.14501263096558E15
510.69513243955	7.38111848722342E16	2.0927495629802E15
512.61395218751	7.43282755881642E16	2.08621360561054E15
514.362328442897	7.08720402758368E16	2.07374494835794E15
515.998444252972	7.10483324610714E16	2.09939626651354E15
517.629031573158	6.33039178334358E16	2.12837157819871E15
519.688557122947	7.36379117972447E16	2.0160525764194E15
521.364547581067	6.56097437592476E16	2.07830065474034E15
523.088484970274	6.5835779953349E16	2.05527897515719E15
524.701777331185	6.50322584633278E16	2.0135244640923E15
526.309666066566	6.9036437702754E16	1.97001366400262E15
528.021128788534	6.65085258176052E16	1.98216443546187E15
529.354776630352	6.72948049102929E16	2.01621476245067E15
530.897643159031	6.98388895904599E16	2.00791218531873E15
532.913619376761	6.33105332015234E16	1.96606341931291E15
534.342242330793	6.44050453073388E16	1.96682824429027E15
536.03171055526	6.3329565753186E16	1.88298806725968E15
537.4531882645	6.20853676359755E16	1.96555740164046E15
539.028411189564	7.05815921711146E16	1.8840716640854E15
540.861742760975	6.63317358604241E16	1.87127607773906E15
542.42838512181	6.34897414877641E16	1.86005258867919E15
543.783442819247	6.43621709548293E16	1.90031335761931E15
545.135571730776	6.11518061964444E16	1.85946875020913E15
547.262181911633	6.2158641315255E16	1.86889684314431E15
548.967430653145	5.88874964242856E16	1.88878717194804E15
550.359844369985	6.44728284363131E16	1.80833123831122E15
551.750357921943	6.08527616772481E16	1.81480765445569E15
553.187815579395	6.33891110791258E16	1.79358965643677E15
554.980357797381	5.91536578670148E16	1.78877905744124E15
556.052999530256	5.97505281614088E16	1.8619802760834E15
557.735932027666	6.11763950904923E16	1.80636732670498E15
559.058591897334	5.52735433873644E16	1.77480706014174E15
560.580826727456	5.43147439417515E16	1.78070706512658E15
561.745095439955	5.09195660403448E16	1.75066336476927E15
564.270788026552	5.31265089998404E16	1.75222198346234E15
565.580136182223	5.59714167507011E16	1.70312433178336E15
566.886859286501	5.08258934853608E16	1.75916817150152E15
568.841498183414	5.07169637814845E16	1.72197637803319E15
570.241398912073	5.11228486496955E16	1.74925754084247E15
571.689184667224	5.44862162670273E16	1.69305896617616E15
573.033473129164	4.97699014023185E16	1.69644872243007E15
574.076783932041	5.03945449793838E16	1.70629385825895E15
575.911586692199	4.97839219197293E16	1.63790674652258E15
576.901110139402	4.69450062566E16	1.62736960347172E15
578.77856770554	4.2264721615393E16	1.58325811740878E15
579.911264450493	4.07852048769778E16	1.60087846818261E15
581.14125190592	4.15559688349343E16	1.63512371095001E15
582.957115141326	4.25872152760197E16	1.57755082730696E15
584.377993475639	4.51789829690786E16	1.56872715138943E15
585.452824098847	4.0997160989955E16	1.56863222605423E15
587.111692028188	3.97073380207088E16	1.60143678359217E15
588.668578400451	3.96390916093785E16	1.55098739432681E15
589.786413111277	4.53335415232222E16	1.55202357190612E15
591.531801844004	4.00510556682378E16	1.53856086952592E15
592.886284907718	4.29846108847932E16	1.50783183822007E15
594.334481786144	4.1450769000508E16	1.44336392066682E15
596.118069527287	4.21181337111425E16	1.42864811749087E15
597.559915230343	4.18360100736983E16	1.42890299835443E15
599.478045312096	4.22919129741536E16	1.42713096684555E15
600.771431193832	4.14290869279902E16	1.46546151931896E15
602.633852476023	4.05761191947572E16	1.41661359405353E15
604.349338876132	4.2141969088587E16	1.39644563409685E15
606.013663818055	3.94449370353611E16	1.3952882745836E15
607.389666693034	3.9743004392488E16	1.46368475180992E15
609.141980503687	4.02752473829846E16	1.39735976032885E15
610.796287644414	3.82302893579159E16	1.43371115123616E15
612.353223087289	4.02546437748357E16	1.4017661786431E15
614.235565678218	3.76669224130184E16	1.41235993210299E15
615.598775307577	3.56146637868609E16	1.41242932725488E15
617.520560572177	3.38578413428056E16	1.41605676309644E15
619.065055624098	3.18264201393975E16	1.39397486199231E15
620.932591449889	3.16399796861639E16	1.38537954680361E15
622.610412199819	3.16195283705667E16	1.40790920721059E15
624.14600074487	3.15003213831772E16	1.36213623759815E15
625.817842979372	2.94116259282201E16	1.36454183548474E15
627.718661361497	2.39790263021747E16	1.37994747249895E15
629.060251107043	2.31077696934963E16	1.34941411806919E15
630.908521176312	2.28188031285912E16	1.37330445315299E15
632.475470253218	1.94555117397245E16	1.3428347281462E15
