K 2nd I-TDS	Des D 50eV	err Des D+mask final
T sample	D m-2 s-1	
2nd I-TDS	2nd I-TDS	2nd I-TDS
450.534629822278	7.43470380023438E16	6.87541868557605E15
452.39677650131	6.37032825584321E16	6.60142280372082E15
454.613512554146	7.00463419767834E16	6.85700270977951E15
456.882758114283	6.71913204774285E16	6.7716628441643E15
458.312813388064	7.32304411796187E16	6.88324192152412E15
460.214980527938	7.11616243441657E16	6.74247183909395E15
461.992506931221	6.61504418190921E16	6.66926861362191E15
463.884544144278	7.35717829611266E16	6.83628399771155E15
465.887433857961	7.33745223054284E16	6.80221927541102E15
467.768686047432	6.75857075369632E16	6.69487425177579E15
469.819819706258	6.8558695453284E16	6.68411407411444E15
471.688802423609	7.88625759883833E16	6.77199516361551E15
473.787314541172	7.30289206089224E16	6.74741038782371E15
475.413750628458	6.72721554131522E16	6.64944793856445E15
476.803912718409	7.41723275220788E16	6.75819695827739E15
479.05897589925	7.18635122948222E16	6.67303139106759E15
480.844676062613	7.75539441948038E16	6.67235956705632E15
482.569562709681	7.17566069574387E16	6.66827185327053E15
484.803540587226	7.45610001953875E16	6.53458856020323E15
486.118241944992	7.28313261068731E16	6.5456045083539E15
487.714300844998	6.94068255340267E16	6.52134088709027E15
489.760760582972	7.14325348196502E16	6.47349779514016E15
491.630106896396	7.87341235968428E16	6.49274940306636E15
493.213804163059	6.87785031381315E16	6.22010230729005E15
495.24276160734	7.87311641255967E16	6.39435972426734E15
496.816231052608	7.2183031033964E16	6.25453516595392E15
498.833719205123	6.99058629669764E16	6.23041233313358E15
500.733509053813	7.33098458243861E16	6.200568653876E15
502.404384046434	7.52100921294115E16	6.24865895216677E15
504.070831238436	7.87169835096279E16	6.2188659992453E15
505.456793003774	7.68724183719135E16	6.08137385712302E15
507.501855259534	8.40082841655964E16	6.1670104208351E15
508.935172094764	8.03192148836279E16	6.19544439330358E15
510.749895698058	7.93519658376366E16	5.99354927940831E15
512.394283588252	7.54919585796432E16	5.82557760606644E15
514.144514117227	7.89025195458306E16	5.94218535144115E15
515.942906744727	8.70687300191997E16	5.97900967365308E15
518.009255563011	8.47933800687386E16	5.91522643339128E15
519.201327651037	7.93530388756115E16	5.69397392994154E15
520.986375452434	7.88978695904833E16	5.75756216603702E15
522.712584378104	8.2845698159503E16	5.78464061216437E15
524.164885793878	7.61949580172831E16	5.58746087231573E15
526.042581368069	7.45668018143916E16	5.49882366621311E15
527.967868389145	8.27695821183124E16	5.55609760936292E15
529.140957473311	8.06726788865918E16	5.5439148973415E15
531.00365711229	7.76697867651259E16	5.49086819559125E15
532.489557761123	8.35192121092594E16	5.51021684923206E15
534.289522100722	8.0486875689897E16	5.40274011552455E15
535.925356977767	8.38850063590432E16	5.38708415663642E15
537.610532558084	8.06972155363434E16	5.34764326137888E15
539.500320756577	7.65872944952059E16	5.22059030468425E15
540.809572126738	8.16463026143709E16	5.21860788270458E15
542.689701548032	7.82382550310213E16	5.12566297321253E15
543.887284209855	8.23302224433474E16	5.25384562371348E15
545.758195695241	8.06833298646908E16	5.06097892351901E15
547.262181911633	7.77248242515285E16	5.13079956110226E15
548.864426532272	7.95127123581118E16	5.08752124279907E15
550.257067543431	7.8552700002536E16	5.06158027363676E15
552.21279545976	7.82276631158333E16	4.87787045247764E15
553.700321160195	7.38097384148254E16	4.88831698535182E15
555.133371866003	6.80231524605796E16	4.77224797434919E15
556.205756135801	7.12376855717497E16	4.75591996332442E15
557.480772166585	7.3562473059035E16	4.70318030627835E15
559.463953045155	6.94868443562724E16	4.75106399029352E15
560.783059814935	7.26427877632534E16	4.71248619035556E15
562.251940316675	7.70874655905842E16	4.77437213844002E15
564.824757266114	7.63757960840632E16	4.65178781634045E15
565.780814696928	6.74385019454002E16	4.60328353164779E15
567.238442161824	7.20235116875251E16	4.72288478610265E15
568.992399714115	6.71684708244067E16	4.55269784361696E15
570.44178934507	6.14331001386177E16	4.3671837383638E15
571.588620584355	6.35563537025457E16	4.45860766730945E15
573.132691612041	6.080590676697E16	4.33393687139246E15
574.772170988696	6.03682564449748E16	4.31214802773606E15
576.110281036712	6.23224613527516E16	4.32548505103697E15
577.692134525858	5.44462197951511E16	4.26628128641399E15
578.876943432074	5.85553309730497E16	4.21383711952886E15
580.452374122579	5.67589705925607E16	4.21515639559187E15
581.583419121496	5.06374152172133E16	3.98149992627565E15
583.54580047555	4.94837202225751E16	4.01667118367993E15
584.573137304206	5.3061172785522E16	4.12954350284986E15
585.989620356142	4.53767450414193E16	3.91362247168995E15
587.354664039006	4.39889585134648E16	3.80603824596544E15
588.96059624863	4.80339847733906E16	3.86735461133147E15
590.223158984539	4.06770558700407E16	3.6982049325206E15
591.483498043569	4.13507905651772E16	3.81880521551622E15
592.644089969384	4.31259705035394E16	3.60383837000692E15
594.47990876138	4.18139625926294E16	3.79715561670627E15
595.924956267236	4.00222857084251E16	3.62971395059516E15
597.319257569218	4.32434112247789E16	3.78378613506462E15
598.567437681472	4.28512120475899E16	3.65528905466254E15
600.148885819103	4.1896528179341E16	3.67311037200395E15
601.727031392615	3.74210839536765E16	3.51196903024868E15
603.492072418084	3.94792736703571E16	3.61277831559844E15
604.635243314812	3.66224776380076E16	3.49894222346519E15
606.441030692227	3.80965455251058E16	3.50108065708304E15
607.769017604435	3.81416272060633E16	3.57153857812129E15
609.804539447359	3.88613826824866E16	3.62690063958269E15
611.12695737563	3.56337960976453E16	3.44007399885385E15
612.683263432999	3.72021373686386E16	3.43244253019623E15
614.32935754118	3.5831763520054E16	3.3983825260656E15
616.021133997312	3.58547730398977E16	3.42030466701181E15
617.941965320237	2.90727330259186E16	3.31547503969056E15
619.439094945952	3.59827182551593E16	3.58578421902747E15
621.446418284731	3.1081547093654E16	3.35142570705436E15
622.843661725546	3.11166967472853E16	3.36111104696158E15
624.982304654729	2.60926749734527E16	3.28424092165588E15
626.560140504202	2.74909466954666E16	3.26051354326871E15
628.042957829709	2.76465991653491E16	3.19387807759462E15
629.846070858417	2.44401241958048E16	3.18716583424169E15
631.738826483622	2.12191167877636E16	3.0475922946633E15
633.626873524456	2.06218398743542E16	2.96680241839447E15
634.77694614005	2.07353021435147E16	3.06315339421987E15
636.338861186353	1.90323331572875E16	3.07220597250347E15
637.989820281755	1.70310950084548E16	2.99664546677037E15
640.004241906835	1.36730601258128E16	2.84300890680909E15
641.695039592404	1.34396079744392E16	2.82758186294612E15
642.927294466833	1.47057539168284E16	2.80019500287957E15
644.749889013659	1.47809477740467E16	2.79054331921349E15
646.570588737164	9.92857157019122E15	2.64831657584934E15
647.479349487714	1.05274522432972E16	2.61683825708735E15
649.249524073479	1.09627269354661E16	2.66629996649395E15
651.018125083211	9.89547123402142E15	2.63014933135411E15
652.692923520736	8.17923534091461E15	2.51175831063708E15
654.32043858104	5.83430254705223E15	2.39012873308212E15
655.720837483311	7.13193886462287E15	2.47805413181003E15
656.983811853974	8.3415492844198E15	2.50359876618696E15
658.65096819578	5.39755008120281E15	2.27246911791278E15
660.226379644035	4.82282820642356E15	2.25809627119665E15
661.889682126276	5.27981290072772E15	2.30625920439474E15
663.102326420902	3.73037805009198E15	2.20828739828602E15
665.076494943165	3.46127959813365E15	2.13870036101586E15
666.68974755517	4.7014771606837E15	2.3144753965294E15
668.03253176597	5.29443220512459E15	2.22110087333947E15
669.598221145051	4.32699159959236E15	2.15108628431684E15
670.984214245629	3.99248922101579E15	2.16985617932891E15
672.725256877348	3.82057390766725E15	2.14057955882407E15
674.509071177251	3.76695564472289E15	2.17417987844058E15
675.668026975053	4.46771008330636E15	2.15046611082456E15
677.138183995314	3.47693309120132E15	2.06052371992089E15
678.695989198626	4.29839436466442E15	2.14193674574137E15
680.519640869098	1.14645806169584E15	1.90979165563696E15
682.252108419434	2.16248160093067E15	1.98435413960709E15
683.894674341557	2.64738097866071E15	2.11051682852519E15
685.004144389232	1.70998098671411E15	1.96127754320083E15
686.64476175535	2.67730810246329E15	2.01040711473846E15
688.284282307906	1.55843722328349E15	1.91319844577336E15
689.746105511296	3.01245288924977E15	1.95981598688391E15
691.870153439417	3.34154878911225E15	2.11536895156877E15
693.418285637481	2.46303791735114E15	2.03069580597586E15
694.700096463286	1.70426216616492E15	1.90111961281125E15
696.290849723365	2.25157207382471E15	1.83495972801836E15
697.792735964486	1.36820060924363E15	1.86599149858958E15
699.205908937799	2.8194462002463E15	1.99211654707714E15
700.970597287748	2.21119897326023E15	1.98761803163816E15
702.47054146873	1.96232495036539E15	1.92438857647844E15
704.1018521396	886031583136936	1.87277276471368E15
706.041235689017	238718708300744	1.68723146998816E15
707.318728909078	1.15680659792269E15	1.87921191892637E15
708.72868517009	1.96745778668886E15	1.86999497705088E15
710.754099589838	1.68242053836292E15	1.76955680882657E15
711.942664978873	2.03254697422297E15	1.94899606574338E15
713.791433675871	440387106378626	1.90540516998196E15
715.595827991261	2.03682200071016E15	1.92137023233569E15
717.090691963431	628253478256518	1.78938176941979E15
718.586292875965	91527797242733.3	1.62093901608361E15
720.258099802835	425661470010585	1.6779923210661E15
722.01636344939	1.03984241984512E15	1.83044041537823E15
723.774387746866	794999255701141	1.82680467371322E15
724.962235012317	147342891290834	1.73046329733551E15
726.9391558216	1.2860246535286E15	1.8897860665769E15
728.258338773548	2.05479583790794E15	1.81622615839014E15
729.840489471728	-19878830880570.5	1.75541944051598E15
731.818106933609	1.08968791607416E15	1.77270057240505E15
733.09233061618	286290582040287	1.71659110671666E15
734.630566668537	-192917576929156	1.65791169486573E15
736.432845293143	-150092833877930	1.77752260057674E15
737.794809594938	70198062426094.5	1.65308600868976E15
739.333187523491	1.06879007798041E15	1.71604871206241E15
741.354939129805	-187865835783649	1.64014057575341E15
742.805858764572	616511252032560	1.71446710957904E15
744.520012558607	-717989216039966	1.65268128173049E15
746.191497881114	-60151025523886.3	1.57500409543172E15
747.55415419285	656955532299605	1.56913728831473E15
749.313768063698	482223280272799	1.68544328221844E15
750.941030544342	-1.08181670739276E15	1.57970367932931E15
752.656311295805	-119543788222579	1.61600640366492E15
754.196331213807	465861484981031	1.59403055515316E15
755.604916491497	-689036541472693	1.53947389559674E15
757.056634312889	-35812747273070.5	1.60558472539028E15
758.730163471185	167945015015288	1.65163333054767E15
760.226356511475	-320231527790105	1.52260767898867E15
762.120221709862	-299655204134652	1.55103575461711E15
763.882740714735	231659463888114	1.62502131489321E15
765.336022640471	-364025757849484	1.45855666107609E15
767.143311970115	-298346872421849	1.58902295175744E15
768.598286809468	-536373765937877	1.51858691448376E15
770.582408060426	-486700583857871	1.541027493991E15
772.082150068528	-794000870208202	1.51804800017718E15
773.714274648211	-759078294148903	1.63511583644387E15
775.302808143502	-460221495626811	1.51733995849025E15
777.245021437775	-982885887441284	1.5462259229668E15
778.613251347277	-561427239276456	1.45992522415207E15
780.070906343576	-781961740518813	1.49980200960247E15
781.926531940654	-1.51518154976343E15	1.4850273094378E15
783.64949373845	-453749298612589	1.61255127034847E15
785.417059349487	189881475881826	1.52103174481414E15
786.876406890592	-307747659940731	1.46855015356101E15
788.601836588397	-259834494604564	1.47766959692226E15
790.194378772484	-756074285348882	1.53630802870777E15
791.831501287466	445163395696144	1.64277723569351E15
793.424926871865	-760089132906384	1.48845885777844E15
795.37314698182	96291843584652.6	1.50241633839455E15
796.65725643562	-106343225403555	1.46415658759869E15
798.650735486515	-214632278789928	1.39182870131738E15
800.245995389795	-564688947979170	1.45197616751692E15
801.930111914907	-1.42666563404592E15	1.30649441883227E15
803.393537205899	-124352243265154	1.3623740331109E15
805.122750806313	742951701677102	1.48494399819661E15
806.853441262012	-919179144363154	1.34592313667601E15
808.316995359469	423598021331574	1.49461390735398E15
809.91470209926	-1.0977542004408E15	1.34372862164193E15
811.291368302924	-541291481008831	1.42532358844343E15
813.511921621065	-1.56481268876929E15	1.27759247689426E15
814.75537300033	-464105050693662	1.26594488582896E15
816.931669099718	-229676169371650	1.46849869021164E15
818.575635597816	-530216597279775	1.34029407014197E15
820.131273377454	-414333158643679	1.38358120967639E15
822.354413231536	-580006097427090	1.43593363600099E15
823.999463972387	-1.00937847552969E15	1.37121886790608E15
825.377626786934	-1.44956139902588E15	1.23186476715946E15
827.201707599473	-270039579180798	1.47041072380325E15
828.981742483498	-1.25500275028092E15	1.28662080115533E15
830.539139054456	-1.10160803245253E15	1.38844667103619E15
831.962568797408	-538598849160781	1.35261451034278E15
834.009733674028	-1.09728191835876E15	1.35286848384439E15
835.345758170691	-1.07373793391666E15	1.26108516329609E15
837.303598683479	-948773707956335	1.28023879883017E15
838.861967722022	-1.9314654928131E15	1.29104855457239E15
840.554725512571	-880777209045555	1.28898804270974E15
842.335448322594	-883392330228168	1.43234845340302E15
844.161729391252	0	1.4788409533602E15
845.809411576504	0	1.37064149635704E15
847.50158512942	0	1.31380199470093E15
849.3503074593	0	1.3101661519751E15
851.064766514539	0	1.23842273506548E15
852.311737835027	0	1.19393330033529E15
854.227102322883	0	1.30843440283242E15
856.142406902021	0	1.33702573525792E15
857.923343145889	0	1.25141583116973E15
859.215564212084	0	1.36302608720022E15
861.129534533987	0	1.34272100613371E15
862.866681994352	0	1.31698560501672E15
864.380605796209	0	1.23928645119993E15
866.116374337376	0	1.3894914872043E15
867.986094749667	0	1.2850855797503E15
869.588176579241	0	1.28629875171761E15
870.878335808247	0	1.27560891473017E15
872.835931042536	0	1.34623305711804E15
874.30408823507	0	1.30712523743652E15
876.171159701145	0	1.34589593943555E15
877.817057069529	0	1.28347272534809E15
879.283217348144	0	1.28518140003407E15
881.238586612298	0	1.37446094309017E15
882.927493376841	0	1.33353412798406E15
884.747768499983	0	1.18578863355018E15
886.612708122744	0	1.35899009421151E15
888.210395160935	0	1.18617789867453E15
889.984535098089	0	1.47712521197748E15
891.404159410152	0	1.29298442146315E15
893.310681557311	0	1.21863333315794E15
894.905989783636	0	1.25426786278353E15
896.544844098786	0	1.46037233833656E15
898.404787174981	0	1.21346247274358E15
900.130401113432	0	1.29913510627057E15
901.899295193608	0	1.28690545703651E15
903.402744754655	0	1.22675093370066E15
905.391267733836	0	1.47125182795079E15
906.849072929911	0	1.45777764903447E15
908.835435931219	0	1.36840969227942E15
909.982630023837	0	1.20059954597554E15
911.349278695641	0	1.31084866409569E15
913.774050365555	0	1.30070707546967E15
915.535103601038	0	1.26281648289225E15
916.767356805775	0	1.13336966398805E15
918.923157361032	0	1.32504286063089E15
920.636929545362	0	1.30800368123536E15
922.525693439553	0	1.25296457481119E15
923.798313220944	0	1.23445592650697E15
925.597127028703	0	1.32138932389338E15
927.262450578351	0	1.30976610214585E15
928.970228718254	0	1.30459449482265E15
930.414862413809	0	1.23962005146579E15
932.252018599028	0	1.23728723721204E15
934.043044326877	0	1.35933685616067E15
935.397189093324	0	1.26751673965145E15
937.317009236826	0	1.24849431400327E15
939.148097124934	0	1.24047595641417E15
940.889675333116	0	1.22376231802383E15
942.804214498845	0	1.24992708931149E15
943.716921652909	0	1.38994294875917E15
945.628637819976	0	1.32023654929575E15
947.322045397252	0	1.29922851072915E15
948.795749784249	0	1.27878318622778E15
950.745422046434	0	1.15679057606304E15
952.477237027476	0	1.3878875338569E15
953.90459187689	0	1.40723000025668E15
955.589259084808	0	1.32913522778857E15
957.359335963058	0	1.40404534452913E15
959.342508644124	0	1.35108045191378E15
960.376670948397	0	1.31797655880816E15
962.226615702878	0	1.2653467164867E15
964.118343333227	0	1.25458011413577E15
965.320866498566	0	1.19626019459477E15
967.252791977176	0	1.2454446360135E15
969.009570451645	0	1.27492716289471E15
970.55100569916	0	1.24625986683923E15
972.305156300159	0	1.23938758865203E15
974.270340142214	-201153880349847	1.2163008125072E15
975.806694337224	588342522932768	1.32972298308513E15
977.214025940893	1.05148477969543E15	1.30754949185882E15
979.258012370632	-38423507443325.4	1.21754096339215E15
980.662245588895	434274973397215	1.26858680191892E15
982.234717339086	894908786100110	1.24987957775801E15
984.018199659742	871624479247949	1.37166345263969E15
985.587274632737	779175876822525	1.27363900747187E15
987.493596171413	590086796991441	1.18685094395058E15
989.143521803558	814197473308615	1.34857817526007E15
990.538827093692	43834063990060.7	1.15616388780873E15
992.649513854948	364285338813963	1.20979333668257E15
993.999608071217	162892947145757	1.27995311747724E15
995.516581755776	-228495053738353	1.24558694256848E15
996.906157949709	33841048414805.5	1.26264089512549E15
998.756681313563	624801163638765	1.32783963802964E15
999.638745148109	1.21450715611868E15	1.39973642568495E15
1002.40840071107	1.0500859351613E15	1.43013227305977E15
1003.79188151916	326788575610966	1.25058397124563E15
1005.59259154359	739640606018881	1.40254279842002E15
1006.9733116476	504739665354175	1.36760894297394E15
1008.60285833776	669181034976510	1.31218274620533E15
1010.10589550652	160547077325226	1.22584961057544E15
1011.9411752175	124959458635942	1.3006099901397E15
1013.35808164121	89849061155054	1.22841825079931E15
1015.2727776188	469969642673795	1.28882420407256E15
1016.85273021768	858630836844729	1.13998279230972E15
1018.38980944911	41739900356357.2	1.37836964682779E15
1019.71859010749	53933931580936.7	1.17299357021928E15
1021.41951303956	621780189574174	1.38934838060601E15
1022.99394394482	977948446174294	1.43413792487247E15
1024.77434669363	197551459188349	1.32775865211946E15
1026.30467693346	1.24973169036446E15	1.31145105231758E15
1027.91619348356	348326245998091	1.32662782243277E15
1029.29990568571	-112525863167654	1.20175615783821E15
1031.21847012165	77599109135183.4	1.38449685993302E15
1033.03247920989	-183462523037303	1.20236359600587E15
1034.59756909363	160163910407336	1.28505739185092E15
1036.03839450391	539268814309832	1.33991330839608E15
1037.84837510717	1.21223499335203E15	1.42762655152903E15
1039.32813017489	465823710380417	1.32892086516867E15
1040.88982763593	242748926534997	1.15143866407584E15
1042.53148700138	704636928172496	1.34439518699981E15
1044.29576636692	549533552355748	1.26488870681784E15
1045.81267211111	1.60147513983239E15	1.33619919779103E15
1047.24704318914	111985964897673	1.27514729047289E15
1049.00841530316	1.44650119329313E15	1.38915911433735E15
1050.76881760457	2.39200756796787E15	1.55668706607347E15
1052.07762593986	630993941207416	1.36004789960422E15
1053.75492310786	2.06316525843422E15	1.52901361855428E15
1055.26749165437	501226309949710	1.35881516586176E15
1057.06575279051	-539646005959460	1.11132130131952E15
1058.37255782595	1.32907743596468E15	1.44125216683416E15
1060.17154535442	1.17498960538306E15	1.48484397841432E15
1061.64328959824	1.1859295138636E15	1.43796184460859E15
1063.35529993517	903008147204435	1.41117483868786E15
1064.86342190112	87609844778467.4	1.33186556763397E15
1066.57482329867	1.3990112159432E15	1.48360999353456E15
1068.00853149464	1.32818370430498E15	1.48298056426795E15
1069.71959747334	1.40984204238287E15	1.42589279142767E15
1071.59706612234	1.44497272090983E15	1.48882511399574E15
1072.81788693323	1.56437932980587E15	1.44170097790432E15
1074.28847382202	902482554712260	1.37395348690701E15
1075.99967219303	475616149560851	1.42923716300629E15
1077.9238907556	1.36450005181781E15	1.46766043846739E15
1079.31179506624	1.52721014367826E15	1.60357311711584E15
1080.8202788359	1.87256792107534E15	1.4811248031068E15
1082.37541720097	1.50405533229415E15	1.51196909807405E15
1084.44965122494	2.00118316069004E15	1.64371299158921E15
1085.83917605894	1.21021420581941E15	1.48123152238582E15
1087.51651294653	2.4971862294288E15	1.66680147628759E15
1089.24100301198	3.24337914974701E15	1.57462688874077E15
1090.91074098744	1.88272351088983E15	1.61029802937821E15
1092.30291039668	947570873827483	1.48581387267747E15
1094.11379777847	2.30926233896585E15	1.61541585307263E15
1095.83302695313	1.98835412397962E15	1.57134822973356E15
1096.97678064949	2.0357881143437E15	1.59425767057995E15
1098.98677091172	2.10789009596259E15	1.60184447514424E15
1100.46760093612	1.79928525900405E15	1.60238536169402E15
1102.15470725961	1.59890854495208E15	1.45989617481898E15
1103.63803392364	1.81113176305996E15	1.46462804766744E15
1105.28143311066	2.79086222068628E15	1.65907387231396E15
1107.05739497281	2.74595675685636E15	1.59323421718817E15
1108.37664059606	3.05285053090853E15	1.69156468056162E15
1110.27801505448	2.30542376889236E15	1.7716422507982E15
1111.56262472791	3.36943015688776E15	1.79691835740387E15
1113.26163824058	1.95340630073797E15	1.59142280408101E15
1114.75592689501	2.86116420602288E15	1.66026105765143E15
1116.65684311735	3.11113576113947E15	1.63905377459874E15
