K 3rd I-TDS	Des D 50eV	err final
T Sample	D m-2 s-1	D m-2 s-1
3rd I-TDS	3rd I-TDS	3rd I-TDS
566.082856254292	5.83825443171648E16	1.89015537569055E15
567.939905978953	5.40733534039404E16	1.8668257623229E15
569.642129206144	5.75163824257728E16	1.82542040160567E15
570.990570819653	4.82596567605245E16	1.8743296386728E15
571.937704681666	4.76865021702133E16	1.75908932493343E15
573.778378680107	4.29339224113744E16	1.78355470041226E15
575.317398873906	4.69041535411809E16	1.75385200613864E15
576.654426051189	4.70310649680432E16	1.70818962062644E15
578.038057306024	4.18241203675698E16	1.68378314999555E15
578.975304944198	3.92748582024281E16	1.69219536732348E15
580.747851436416	3.60269631721152E16	1.65618477533044E15
581.779351980779	3.495999487607E16	1.65930228869675E15
583.790013732763	3.40950914127148E16	1.60978836740206E15
584.915615679902	3.51916414000045E16	1.63563982147723E15
586.477361170579	3.09650420364468E16	1.53253621598378E15
587.890011735957	3.14045706662304E16	1.52343375020757E15
589.349399940652	2.88286417404444E16	1.45998546722242E15
591.095852447599	2.82765705228462E16	1.50914958347369E15
592.112292055789	2.87464056642545E16	1.51140277560308E15
593.32115613675	2.80113388731528E16	1.44249226714093E15
595.299445628938	2.64339570010481E16	1.40605858215713E15
596.406009044338	2.37561795582347E16	1.36260677071107E15
597.559915230343	2.41460610639039E16	1.34051834564767E15
599.095681168599	2.11308094015619E16	1.32496202128612E15
600.722643849958	2.05373899762976E16	1.33902799408792E15
602.012828502423	2.0790352498708E16	1.27547419431945E15
603.110639394954	1.84544893196002E16	1.27394538234093E15
604.396817090863	1.61993693695559E16	1.23647055288478E15
606.108415075575	1.85461548725021E16	1.22634927654945E15
607.295069342069	1.68786677309851E16	1.22987331150533E15
608.431641064122	1.73563163072583E16	1.21719118590336E15
609.851691123428	1.70801763922866E16	1.18863195153071E15
611.410434390934	1.40886692147376E16	1.14267324419212E15
612.636275486452	1.52956151467981E16	1.14650291668033E15
613.859226114986	1.25050865781525E16	1.08981138082006E15
615.316730272391	1.4340688044378E16	1.07406286615288E15
616.958718283691	1.49637689503766E16	1.07807147714901E15
618.316491461915	1.3841158618515E16	1.03324618915821E15
619.578920955134	1.417127722184E16	988042989990912
621.073236376232	1.25868513200183E16	1.03072575079803E15
622.704352585738	1.18326068155328E16	998052980776255
624.332497901715	1.32595684745463E16	1.00663953176101E15
626.421399323519	1.29549565041571E16	1.0012658407711E15
627.995737158316	1.22008228142369E16	939487621451278
629.384087351569	8.51646866018595E15	964600594846173
631.507792582723	9.10428126651137E15	905933559635320
633.350366630704	9.50575582031298E15	944715688791172
634.914491260901	1.01284476020247E16	956050740114179
636.659278770399	1.01388069056402E16	934781027133621
638.126935577521	6.61408884139002E15	940752082473319
640.277933208525	7.25613744245025E15	907006691067361
641.695039592404	7.59696833967477E15	886337823580137
643.292257887378	7.47988168389514E15	927062374001151
645.319620099539	6.66224884990691E15	919293724901063
646.661290564035	6.60182597106376E15	905220696389204
648.524276852066	5.59689592334357E15	820564014645071
650.292908293513	4.09013241773319E15	831469725098370
651.696730554157	3.54061994503275E15	840360239015923
653.597126550773	6.73708609601609E15	856093067606334
655.043346385202	3.38416216679003E15	855067408326724
656.667924570291	4.71373475544629E15	772964911671029
658.245603084432	4.84898667524313E15	790884408387053
659.866354040537	5.68888581934351E15	796143578860872
661.619729718366	4.16010418191208E15	789819548029907
663.191886223922	3.30153948484625E15	764224867653763
664.582430857606	3.16381462637658E15	766258292939628
666.465332574039	2.71353659583334E15	731344601987416
667.853964421059	4.25377967292983E15	676167668595653
669.329603850296	2.31775914491223E15	656805824238881
670.849514422057	3.57803411074873E15	745955582966403
672.234498307832	3.58234312393765E15	651836466285735
673.751872206979	2.9798152092515E15	695769691005771
675.44578935754	2.3479599358465E15	697110541411276
676.559746630185	1.40225258057526E15	706101605360685
678.251170438049	2.04783000850353E15	668471066820149
680.119562904245	2.54383125029629E15	627989382368784
681.719422109441	2.86091940369443E15	627020327574563
683.273821113294	2.45242163011946E15	610862351065725
684.472107607492	768359113973997	654641363953854
686.24576831255	1.88438144184868E15	591052935679756
687.885551189466	1.63073494228866E15	636186137732914
689.435937732161	1.47470732905626E15	614985301760349
690.631241574465	1.43453220765023E15	616301027439174
693.197747008989	1.53676569739589E15	575197158958869
694.125904176808	1.11517364450384E15	536786866756198
695.672874565284	1.34130763684909E15	554086453240687
697.395302259428	1.85918327636857E15	575851986980681
698.76460356011	1.76063613254619E15	588343721327770
700.706547275073	578369774477117	580676406836250
702.073611529951	829215931200980	515765040033715
703.70507796317	1.00450382688973E15	546260461418022
705.028184304879	-213959446364946	541299978873580
706.614601277485	548037515480821	530371793010716
708.244430643797	1.7341898189215E15	534096417251692
709.961589953403	937013105111192	539713630953929
711.414775086973	-464981957405005	514478518144250
713.087106754069	1.56079380765924E15	520836963520839
714.583466920829	810102007301280	546367197085773
716.123399793872	473203468122799	519258588255466
717.927261745197	894679017855318	488886522184617
719.861356663476	235172546644329	491349888086358
721.22497757614	-278761408726415	494832840978216
722.9831044604	-680309470576092	455161899896779
724.698165415901	-217126499872253	466855472812129
725.928797472871	251790158651795	528370977088228
727.598755228989	165339397244685	489023235927971
729.22477357227	-773258637153266	435603167438848
730.895557806626	-772388897738428	509474775509842
732.521471154207	466322100222323	487834813969267
734.147375744291	362746166885982	469652482899061
735.817135574591	49386186192835.5	487834813969267
737.399267141635	-172405190843168	447907287638235
738.89378505655	-756275599166884	431178782528532
740.563754204166	-1.23710560507886E15	394596678213872
742.146154794603	-988382925564672	439493915289578
743.905088871504	-1.36619813165673E15	449912119087386
745.179812436516	-207819431553055	446346251278481
747.114539764414	-564111528441688	380789527099528
748.477295788726	-638802966249790	413154098272052
750.105432784495	-1.56482469804407E15	458549647348681
751.68893697782	-617607022323923	434308149401805
753.492120025223	-878889255757127	437508687471081
755.2527493916	-506479937724620	428624847504124
756.704407954594	-278565224568707	385045697564593
758.377865540122	-976082925106401	360920836197281
759.698314498286	936483119421708	382952330994174
761.723838246237	-218533519118367	351565767861997
762.913052637744	-371323502457750	402294771604974
764.763663346484	-411504533605844	392307399329458
766.52584253123	-1.53659137931599E15	392175718190050
768.201534761746	-908018552626935	328769730830835
769.611762251408	346651744455288	392175718190050
771.464213513086	-579964143997311	370615942878274
773.229193085941	-495708936016596	403008928386991
774.684551778625	96827956244369.8	395057765633254
776.4944788617	-1.02967123615427E15	364656104710891
