Experiment	Ret He	Ret D Sample	final error sum of two for D	error for He
	He m-2	D m-2	D m-2	
	Sum 2.6587103e+19			
0	2.69068126696001E18	0	0	3.45610563212E17
1	1.93986115952439E19	1.68007742824929E18	2.24E18	2.156975502251E18
2	3.37030381294754E18	1.72107043892438E19	2.47E18	1.80864598451E18
3	5.95362130194277E17	2.25917868638657E19	8.59E18	1.06928272882E18
4	4.3059425218641E17	1.7577018151282E19	2.81E18	8.41048735785E17
5	1.0156685067279E17	2.000382596407E19	2.61E18	4.50338311441E17
