K 1st I-TDS	Des D 50eV	err final
T sample		
1st I-TDS	1st I-TDS	1st I-TDS
324.057570787787	0	1.15488243517212E15
324.125710507576	0	1.28870431511248E15
324.261982503763	0	1.28304515804739E15
324.261982503763	0	1.12359418812924E15
323.716835072299	0	1.16866240636156E15
323.853136771756	0	1.14266548387163E15
323.784987155896	0	1.13780529764897E15
324.19384774707	0	1.15718235828778E15
323.578974460368	0	921349528638856
323.853136771756	0	1.16461438223991E15
323.784987155896	0	1.12551922747737E15
323.578974460368	0	1.13583476429812E15
324.261982503763	0	1.0930043308112E15
323.648680523481	0	1.476501081654E15
323.853136771756	0	1.42096025179339E15
323.648680523481	0	1.26840835794175E15
323.989428590215	0	1.27740423814899E15
324.057570787787	0	1.25566078678457E15
324.057570787787	0	1.1745697607585E15
324.19384774707	0	905557066956573
323.716835072299	0	1.25300083190131E15
323.921283917367	0	1.27213050432405E15
323.853136771756	0	1.06860021999643E15
323.989428590215	0	1.1457686209157E15
323.853136771756	0	1.20733357978662E15
323.853136771756	0	1.17524817863195E15
323.648680523481	0	1.32460518353042E15
323.716835072299	0	1.09381380834059E15
323.716835072299	0	1.18806039375316E15
324.331663206957	0	1.17828690887593E15
323.989428590215	0	1.27950343863376E15
323.648680523481	0	1.30752746234817E15
324.125710507576	0	1.23962712267771E15
323.921283917367	0	1.30783585782437E15
324.125710507576	0	1.34680901977407E15
323.510814932776	0	1.38108882583543E15
323.442652947574	0	1.6318815010393E15
323.578974460368	0	1.6594777423453E15
323.169980481094	0	2.04860974575896E15
323.101806245675	0	1.81434967408675E15
323.306321614423	0	2.00720727377947E15
324.261982503763	0	1.81146312517893E15
323.784987155896	0	1.82276165969596E15
324.19384774707	0	1.7542538266566E15
324.057570787787	0	1.8326429698022E15
324.057570787787	0	1.83419577639771E15
325.150602764264	0	1.73485333349419E15
325.491075637461	0	1.8977138400023E15
327.197122956711	0	1.99824756004324E15
327.538756468258	0	2.14188342421049E15
329.037452666518	0	2.04897547408837E15
329.92370327791	0	2.26406514907419E15
331.352471513863	0	2.31963698187616E15
332.849368646461	0	2.37042757554206E15
333.664306466549	0	2.37323441213762E15
335.565261524874	0	2.47217208638007E15
337.261117866986	0	2.54401372927484E15
338.750960892801	0	2.67497287775907E15
340.036892743583	0	2.63365336587681E15
341.52553914219	0	2.81131252880424E15
343.01115372399	0	2.78172976100832E15
344.901956503661	0	2.95823038899063E15
346.518461450259	0	3.1316886801936E15
348.000392009316	0	3.07797822732494E15
349.748868395188	0	3.07345067280956E15
351.225757876038	0	3.1836408813784E15
353.036882932687	0	3.3914916930333E15
354.845489246348	0	3.43031665375993E15
356.384811847828	0	3.45618543485543E15
358.388412009994	0	3.56390812098541E15
360.056356292654	0	3.54989380172694E15
361.388463412769	0	3.7847033007851E15
363.983469533483	0	3.72213533683557E15
365.443564764919	0	3.83899583847926E15
366.969427878551	0	3.95294020711088E15
368.028068111153	0	3.88302783289215E15
370.474904464518	0	4.11437849888025E15
372.39023130544	0	4.18164446082027E15
373.905153464748	0	4.19211550376861E15
376.142266578732	0	4.12634909775763E15
377.915187118277	0	4.22456063904397E15
379.619778015153	0	4.23833463608201E15
381.452011920006	0	4.34157848870394E15
383.215858018191	0	4.3389150681844E15
384.911628146607	0	4.4127030377962E15
386.604515348473	0	4.73606668452409E15
388.943482729445	0	4.54388187863455E15
390.69401443343	0	4.60260014641542E15
392.441351755585	0	4.49523865918222E15
394.38003628948	0	4.67125967404939E15
396.184786199469	0	4.65510449820272E15
398.500216803228	0	4.7975622426619E15
400.296892230356	0	4.73583628684395E15
402.153812243392	0	4.65813075374451E15
403.879500372332	0	4.82436524884186E15
405.155297450534	0	4.83914767665118E15
408.591528618785	0	4.8056705769381E15
410.432393658975	0	4.86093839313802E15
412.899796664111	0	4.84630765703614E15
414.857086494114	0	4.88860962123705E15
416.620137374712	0	4.90151280519445E15
418.567238253662	0	4.91917290270037E15
420.00996727874	0	4.97227405148165E15
422.199700773369	0	4.83793813012656E15
424.071263327624	0	4.83237159808207E15
425.876401139986	0	4.76503054804775E15
428.111907559267	0	4.92386557857359E15
429.84606284392	0	5.01740522393782E15
432.133124294523	0	4.8005010093052E15
434.473329832808	0	4.80904178944142E15
436.315557577821	0	4.68370492875342E15
438.031189504781	0	4.73710682139167E15
440.109667415047	0	4.79355004039898E15
442.060896882796	0	4.80522563958049E15
444.188625664164	0	4.74733082059039E15
445.946482029256	0	4.80192392262542E15
448.002659849161	0	4.6814902680394E15
449.931487141379	0	4.67565814102203E15
452.036171266107	0	4.58053615935589E15
453.836003683319	0	4.75610928223749E15
455.808626775992	0	4.59873441744265E15
457.479984615201	0	4.59269507018442E15
459.680692726609	0	4.61903425147394E15
461.103645879967	0	4.50418196348528E15
463.82432621136	0	4.57398925229096E15
465.476380751862	0	4.35575881643024E15
467.357442682886	0	4.53462935661454E15
469.117771419688	0	4.55445789216657E15
471.046969639635	0	4.3501565141694E15
473.088105372248	0	4.36773332814477E15
475.065094623063	0	4.36167993915189E15
476.978461363061	0	4.38935738077537E15
478.943855249173	0	4.44176662463936E15
480.441458340306	3.99611035867638E15	4.46468672517436E15
482.339234177568	1.07874296252062E15	4.34387959264119E15
484.28858988576	3.69410538077492E15	4.33237156104627E15
486.118241944992	1.65179749635382E15	4.284774647488E15
487.714300844998	4.45074378872044E15	4.26039122568526E15
489.363062188051	2.6200621567642E15	4.12443350826861E15
491.064097982787	7.74270828244466E15	4.2245430066185E15
492.422446789132	8.6870004901384E15	4.29700383203686E15
494.736128662408	1.13723491435603E16	4.14123780363386E15
496.646967930519	1.21462385596408E16	4.28174698516006E15
498.329950064699	6.05261017499771E15	4.05066807650826E15
500.398295353455	1.44334997440661E16	4.2377900470622E15
501.958998481014	1.05824521871786E16	3.9269182921157E15
503.515839926884	1.22360511368872E16	4.05736591095911E15
505.40156395098	1.94274416718259E16	4.19412409871057E15
507.004988573187	1.41681948667152E16	3.99272144721628E15
508.935172094764	1.43696276196563E16	3.89225438978234E15
510.585591490474	1.76006604895228E16	4.06153166644605E15
512.230412475242	1.8084201581296E16	3.97549694401421E15
513.652914027416	2.47669731660647E16	4.08801572236279E15
515.616986660166	1.82587756836441E16	3.82311934098222E15
517.358179921463	2.36101715585882E16	4.02687024831406E15
518.931161540394	2.43349705154529E16	4.0822117776446E15
520.500164995211	2.45519006321094E16	3.96574505534073E15
522.3889808317	2.19184933941874E16	3.82562167544178E15
523.949267811849	2.1430058105999E16	3.84306747979948E15
526.042581368069	2.75673755856662E16	3.90777584046355E15
