K	Des He	K	Des He	K	Des He	K	Des He	K	Des He	K	Des He	Err Des He	err Des He	err Des He
T sample	He m-2 s-1	T sample	He m-2 s-1	T sample	He m-2 s-1	T Sample	He m-2 s-1	T sample	He m-2 s-1	T sample	He m-2 s-1	Col(J)*1/(2.24787E-8*3.04E-5*0.06)	He m-2 s-1	He m-2 s-1
476.688396467925	3.34136979108254E15	420.00996727874	0	475.413750628458	0	478.307711176764	0	483.200271192434	0	498.945331561976	0	532489889447937	2.28707677116041E15	4.07629265799879E15
478.481861275516	3.17064286745058E15	422.199700773369	0	476.803912718409	0	480.269134113544	0	484.974667780255	0	500.620947730043	0	519293398357050	2.33724451341309E15	4.11068418641934E15
480.269134113544	2.85357858070552E15	424.071263327624	0	479.05897589925	0	481.535699850252	0	486.402849444109	0	502.348885767813	0	493850960861774	2.16870604353683E15	4.01255836007309E15
482.453757990041	2.04872308358345E15	425.876401139986	0	480.844676062613	0	483.200271192434	0	488.169776502992	0	504.23811330252	0	422439579929253	2.37386153925358E15	4.04038179002016E15
483.83036789217	3.09747418589403E15	428.111907559267	0	482.569562709681	0	485.661314009403	0	490.100346450635	0	505.734119864584	0	513533958910399	2.37553150888625E15	3.93320262520908E15
485.489073186281	3.17064286745058E15	429.84606284392	0	484.803540587226	0	487.258502653032	0	491.630106896396	0	507.28163057238	0	519293398357050	2.26573635175678E15	4.00810847573445E15
486.972980329022	2.92674726226208E15	432.133124294523	0	486.118241944992	0	488.738345603705	0	493.213804163059	0	509.265854839041	0	499837251680109	2.24816542852873E15	3.981802730662E15
488.965117150926	2.36578737032851E15	434.473329832808	0	487.714300844998	0	490.441037740049	0	495.748990801325	0	511.079618172337	0	451920414148243	2.41280027113771E15	4.04038179002016E15
490.72502288572	2.19506044669656E15	436.315557577821	0	489.760760582972	0	492.59155705721	0	497.15207809379	0	512.94144953373	0	436293722091961	2.44382909580823E15	3.95231304327837E15
492.761903139771	3.17064286745058E15	438.031189504781	0	491.630106896396	0	494.285307106108	0	498.833719205123	0	514.253430816409	0	519293398357050	2.46563861276006E15	3.99224649522418E15
494.566309901536	3.9023296830161E15	440.109667415047	0	493.213804163059	0	496.141454925345	0	500.789149922955	0	516.324164328186	0	573716567485620	2.51342675120132E15	3.86967363038531E15
496.085403482733	3.41453847263909E15	442.060896882796	0	495.24276160734	0	498.105218250871	0	502.626328190769	0	517.846858278445	0	538046456160900	2.3987890153175E15	3.92083204810436E15
498.609166443844	3.755992319903E15	444.188625664164	0	496.816231052608	0	500.007198325857	0	503.960123852209	0	519.79650580714	0	563252773239003	2.45354614843559E15	3.89419134322343E15
499.840053798307	3.58526539627104E15	445.946482029256	0	498.833719205123	0	501.958998481014	0	506.065245395372	0	521.256871567642	0	550793825105516	2.32661578842626E15	3.85684226131287E15
501.958998481014	2.43895605188506E15	448.002659849161	0	500.733509053813	0	503.460439720079	0	507.556899315015	0	523.034798843873	0	458454542290668	2.46161439167943E15	3.82613052564453E15
503.515839926884	3.9023296830161E15	449.931487141379	0	502.404384046434	0	505.12408984089	0	509.430506948944	0	525.022959309628	0	573716567485620	2.53150636351972E15	3.92260166193679E15
505.291091240994	3.755992319903E15	452.036171266107	0	504.070831238436	0	506.562858542857	0	510.69513243955	0	526.416467715524	0	563252773239003	2.50275397793055E15	3.87888593350922E15
506.784588853715	3.17064286745058E15	453.836003683319	0	505.456793003774	0	508.439444006993	0	512.61395218751	0	527.967868389145	0	519293398357050	2.49839273996225E15	3.84396806068918E15
508.164563729557	4.07305660664806E15	455.808626775992	0	507.501855259534	0	510.255607591121	0	514.362328442897	0	529.67355633721	0	585688098389018	2.58728676154116E15	3.8483501212592E15
510.255607591121	3.34136979108254E15	457.479984615201	0	508.935172094764	0	512.230412475242	0	515.998444252972	0	531.375767150789	0	532489889447937	2.46282234843407E15	3.90791496028902E15
511.955955936063	3.755992319903E15	459.680692726609	0	510.749895698058	0	513.652914027416	0	517.629031573158	0	533.284585706412	0	563252773239003	2.54751265467362E15	3.81029156775008E15
513.270014192619	2.85357858070552E15	461.103645879967	0	512.394283588252	0	515.779968073548	0	519.688557122947	0	534.659667264081	0	493850960861774	2.41362192969078E15	3.87146662835759E15
515.398376286206	3.6584340778276E15	463.82432621136	0	514.144514117227	0	517.52070509351	0	521.364547581067	0	536.189414937084	0	556167550651233	2.60218818930251E15	3.70368144859945E15
516.86788420354	3.09747418589403E15	465.476380751862	0	515.942906744727	0	519.093275325463	0	523.088484970274	0	537.978705707528	0	513533958910399	2.40539271402074E15	3.8552996271889E15
518.823062144106	4.07305660664806E15	467.357442682886	0	518.009255563011	0	520.715761265481	0	524.701777331185	0	539.657148555958	0	585688098389018	2.57653515235051E15	3.83363757154457E15
520.392338741522	3.51209671471449E15	469.117771419688	0	519.201327651037	0	522.335234070855	0	526.309666066566	0	541.123715651429	0	545367152614951	2.51579232984372E15	3.74996928745227E15
521.957653870217	3.755992319903E15	471.046969639635	0	520.986375452434	0	524.272057774911	0	528.021128788534	0	543.002900757665	0	563252773239003	2.53815536812426E15	3.72183947658794E15
523.949267811849	4.14622528820461E15	473.088105372248	0	522.712584378104	0	526.042581368069	0	529.354776630352	0	544.460461724234	0	590744492329443	2.53932691462935E15	3.77368849476558E15
525.238204026929	3.9023296830161E15	475.065094623063	0	524.164885793878	0	527.64699867621	0	530.897643159031	0	545.86288643188	0	573716567485620	2.48805397028076E15	3.70046784153134E15
527.379278314122	3.82916100145955E15	476.978461363061	0	526.042581368069	0	529.034624441853	0	532.913619376761	0	548.141753416391	0	568508745037801	2.62494828615842E15	3.65572312222906E15
528.448256837941	3.9998879250915E15	478.943855249173	0	527.967868389145	0	530.950652401512	0	534.342242330793	0	549.174558390474	0	580587669496621	2.66431064945737E15	3.75525316958198E15
530.737383115603	3.41453847263909E15	480.441458340306	0	529.140957473311	0	532.966456605234	0	536.03171055526	0	550.82330007458	0	538046456160900	2.62003371027414E15	3.622759783085E15
532.171020624259	3.82916100145955E15	482.339234177568	0	531.00365711229	0	534.184068208075	0	537.4531882645	0	552.828466068085	0	568508745037801	2.58575355443671E15	3.61371759730679E15
533.708104521589	5.04863902740208E15	484.28858988576	0	532.489557761123	0	535.925356977767	0	539.028411189564	0	554.006929269474	0	649879966020573	2.58728676154116E15	3.61262003688746E15
535.292834485691	3.755992319903E15	486.118241944992	0	534.289522100722	0	537.610532558084	0	540.861742760975	0	555.69526697405	0	563252773239003	2.57807384173959E15	3.60712722538318E15
537.084703857723	3.58526539627104E15	487.714300844998	0	535.925356977767	0	539.133046676784	0	542.42838512181	0	557.072997738523	0	550793825105516	2.65387110494532E15	3.74653076789744E15
538.451411261507	4.24378353028001E15	489.363062188051	0	537.610532558084	0	540.861742760975	0	543.783442819247	0	558.651821731895	0	597419783219142	2.61889826765949E15	3.62002211188385E15
540.024113904106	3.34136979108254E15	491.064097982787	0	539.500320756577	0	542.637683461482	0	545.135571730776	0	559.971445181521	0	532489889447937	2.60713640505797E15	3.57510250165552E15
541.592858181018	4.63401649858162E15	492.422446789132	0	540.809572126738	0	544.355536370221	0	547.262181911633	0	561.745095439955	0	623406581644555	2.61017679840019E15	3.58783616295811E15
543.210825611994	3.755992319903E15	494.736128662408	0	542.689701548032	0	545.602891846047	0	548.967430653145	0	562.958795052803	0	563252773239003	2.62003371027414E15	3.60822645662167E15
545.187382570173	3.26820110952599E15	496.646967930519	0	543.887284209855	0	546.951105401463	0	550.359844369985	0	565.2276590046	0	526874724902656	2.61245477131236E15	3.55480110594811E15
546.744418460141	4.14622528820461E15	498.329950064699	0	545.758195695241	0	548.709888749389	0	551.750357921943	0	566.886859286501	0	590744492329443	2.50829367730761E15	3.53886836107425E15
548.193316755165	2.60968297551702E15	500.398295353455	0	547.262181911633	0	550.463772093373	0	553.187815579395	0	568.140997860154	0	473350204535721	2.70126540549292E15	3.44489052263471E15
549.483368195291	4.14622528820461E15	501.958998481014	0	548.864426532272	0	552.21279545976	0	554.980357797381	0	569.992241296244	0	590744492329443	2.56766979455199E15	3.50678571135126E15
551.33888875117	3.82916100145955E15	503.515839926884	0	550.257067543431	0	553.649205406025	0	556.052999530256	0	571.19073450861	0	568508745037801	2.55644791520684E15	3.55005671766702E15
552.981999524048	3.9998879250915E15	505.40156395098	0	552.21279545976	0	555.031366576071	0	557.735932027666	0	572.78423429475	0	580587669496621	2.60865704467694E15	3.44114717077101E15
554.673059290696	4.07305660664806E15	507.004988573187	0	553.700321160195	0	556.766706980247	0	559.058591897334	0	574.424567710255	0	585688098389018	2.58191655342926E15	3.47155216268635E15
555.848109337415	3.34136979108254E15	508.935172094764	0	555.133371866003	0	558.244793222077	0	560.580826727456	0	575.613996787412	0	532489889447937	2.54478700030772E15	3.33462767246631E15
557.429958951118	4.63401649858162E15	510.585591490474	0	556.205756135801	0	559.617048460617	0	561.745095439955	0	576.802447315584	0	623406581644555	2.60371171881787E15	3.41918094721362E15
559.15995619361	3.02430550433748E15	512.230412475242	0	557.480772166585	0	560.833608163564	0	564.270788026552	0	578.18577639121	0	507709188740129	2.58460305224208E15	3.47469216035081E15
560.352088885566	3.09747418589403E15	513.652914027416	0	559.463953045155	0	562.453650262964	0	565.580136182223	0	580.108791184868	0	513533958910399	2.69832764996855E15	3.37246863042893E15
562.302373705038	3.9023296830161E15	515.616986660166	0	560.783059814935	0	564.976588058544	0	566.886859286501	0	581.288301284111	0	573716567485620	2.62230312058293E15	3.33076040146165E15
563.917600278565	3.09747418589403E15	517.358179921463	0	562.251940316675	0	566.082856254292	0	568.841498183414	0	582.810421300993	0	513533958910399	2.62116866103575E15	3.37246863042893E15
565.580136182223	3.17064286745058E15	518.931161540394	0	564.824757266114	0	567.939905978953	0	570.241398912073	0	584.132877437202	0	519293398357050	2.57306973699292E15	3.35537482285492E15
567.238442161824	4.07305660664806E15	520.500164995211	0	565.780814696928	0	569.642129206144	0	571.689184667224	0	585.746176119511	0	585688098389018	2.63173793238312E15	3.27462587264198E15
568.741634530596	3.6584340778276E15	522.3889808317	0	567.238442161824	0	570.990570819653	0	573.033473129164	0	587.452933497075	0	556167550651233	2.53268098566793E15	3.22428391143054E15
569.942398488559	3.9998879250915E15	523.949267811849	0	568.992399714115	0	571.937704681666	0	574.076783932041	0	588.329025563049	0	580587669496621	2.52523248432391E15	3.29815642108966E15
