t(s),Flux surface 1: solute,Flux surface 2: solute,Average T volume 1,Total 1 volume 1,Total 2 volume 1,Total 3 volume 1,Total 4 volume 1
0.1,-3.3398249196538993e+18,-3.309760080114678e-281,299.9999999999997,7.745301427219756e+17,6.33706811159634e+17,7.04118682638559e+17,1.783332625631485e+16
0.21000000000000002,-4.6044503610339215e+18,-3.805264819739748e-281,299.9999999999997,1.5763089531252582e+18,1.2897081958055068e+18,1.4330091158527063e+18,3.719539748983607e+16
0.33100000000000007,-6.857112901186313e+18,-1.9627477739284862e-280,299.9999999999997,2.358146536930841e+18,1.9293940131200968e+18,2.1437711407233503e+18,5.7949984561266184e+16
0.46410000000000007,-1.0019570079665848e+19,-3.839828662109403e-280,299.9999999999997,3.063761865053453e+18,2.506715990022345e+18,2.7852400076721367e+18,7.989547750887386e+16
0.6105100000000001,-1.3026146681914292e+19,1.4447703991667517e-279,299.9999999999997,3.678887670972746e+18,3.0100009674025774e+18,3.344445540547232e+18,1.0297353657906958e+17
0.7715610000000002,-1.5150462511803996e+19,-2.652987963570276e-279,299.9999999999997,4.2307388225549425e+18,3.4615157631860403e+18,3.8461286493193713e+18,1.2729939202703635e+17
0.9487171000000002,-1.653443981318393e+19,-8.48026059907661e-279,299.9999999999997,4.748536912725903e+18,3.885168990333374e+18,4.3168544598992353e+18,1.5300940717095437e+17
1.1435888100000002,-1.7489215155406459e+19,-5.863962026483775e-279,299.9999999999997,5.250490391153998e+18,4.2958584688958305e+18,4.773176105651112e+18,1.802052936358823e+17
1.3579476910000003,-1.8204505023250915e+19,-3.127709131532148e-278,299.9999999999997,5.746992668638438e+18,4.702087891196917e+18,5.224542133520976e+18,2.0896433681645456e+17
1.5937424601000005,-1.8774689697091174e+19,1.2818171368321126e-277,299.9999999999997,6.244432949202732e+18,5.109084784160803e+18,5.67676090671861e+18,2.393516608312919e+17
1.8531167061100007,-7.543706051069362e+16,2.9345220842399813e-279,299.9999999999997,6.249835410532405e+18,5.113514079656634e+18,5.681682444442402e+18,2.39687235175481e+17
2.138428376721001,-406138821699129.2,2.1166473513629883e-281,299.9999999999997,6.249864405802566e+18,5.113548188759223e+18,5.681720455617321e+18,2.3968983553014474e+17
2.452271214393101,-23630678022693.57,1.8031585150968343e-281,299.9999999999997,6.249853201622853e+18,5.113550448028448e+18,5.681723089328202e+18,2.3969001685253696e+17
2.7974983358324113,-21667637762980.41,-2.6539701723901245e-281,299.9999999999997,6.249840612847673e+18,5.113552719693511e+18,5.681725749181944e+18,2.3969020007164064e+17
3.1772481694156527,-21657904964986.613,-4.3578125670449595e-281,299.9999999999997,6.249826763985059e+18,5.113555217340924e+18,5.681728673703668e+18,2.3969040152253936e+17
3.594972986357218,-21657496224680.273,-3.049228751432604e-281,299.9999999999997,6.249811530486503e+18,5.113557964701222e+18,5.681731890617653e+18,2.396906231145059e+17
4.05447028499294,-21657091760853.266,-1.3453046475122923e-281,299.9999999999997,6.249794773949222e+18,5.113560986741482e+18,5.681735429157994e+18,2.396908668613107e+17
4.5599173134922335,-21656647057511.19,-1.5497797911193837e-281,299.9999999999997,6.249776342134753e+18,5.113564310917966e+18,5.681739321473691e+18,2.396911349775267e+17
5.115909044841457,-21656157916961.86,-2.1768487649202047e-281,299.9999999999997,6.249756067594401e+18,5.113567967430046e+18,5.68174360292577e+18,2.3969142989898694e+17
5.727499949325603,-21655619901648.65,-5.612155375995584e-281,299.9999999999997,6.249733766151198e+18,5.113571989494087e+18,5.681748312407845e+18,2.3969175430487984e+17
6.400249944258164,-21655028132337.35,-1.454278558259769e-281,299.9999999999997,6.249709235230555e+18,5.113576413644419e+18,5.681753492698818e+18,2.3969211114202714e+17
7.140274938683981,-21654377243601.688,-1.9859490966748538e-281,299.9999999999997,6.249682252024701e+18,5.113581280064502e+18,5.681759190850263e+18,2.3969250365159574e+17
7.95430243255238,-21653661335564.32,-3.5264504748583017e-281,299.9999999999997,6.249652571474465e+18,5.113586632950776e+18,5.68176545861289e+18,2.396929353984579e+17
8.84973267580762,-21652873920890.188,-9.498290530153536e-282,299.9999999999997,6.249619924050298e+18,5.113592520912988e+18,5.68177235290495e+18,2.3969341030347533e+17
9.834705943388382,-21652007866570.715,-1.3997202122093487e-281,299.9999999999997,6.24958401331265e+18,5.113598997414095e+18,5.681779936327663e+18,2.396939326789931e+17
10.918176537727222,-21651055329997.434,-1.576951818255524e-281,299.9999999999997,6.249544513230017e+18,5.113606121253972e+18,5.681788277731395e+18,2.3969450726786592e+17
12.109994191499945,-21650007688777.01,-4.80804958437053e-281,299.9999999999997,6.249501065230686e+18,5.113613957101191e+18,5.68179745283844e+18,2.396951392863507e+17
