"ib","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
9.7892e+06,1,5.8e-08,5.8e-08,0,0
9.7537e+06,1,5.85e-08,5.85e-08,0,0
9.7185e+06,1,5.9e-08,5.9e-08,0,0
9.6833e+06,1,5.95e-08,5.95e-08,0,0
9.6483e+06,1,6e-08,6e-08,0,0
9.6134e+06,1,6.05e-08,6.05e-08,0,0
9.5788e+06,1,6.1e-08,6.1e-08,0,0
9.5442e+06,1,6.15e-08,6.15e-08,0,0
9.5098e+06,1,6.2e-08,6.2e-08,0,0
9.4754e+06,1,6.25e-08,6.25e-08,0,0
9.4414e+06,1,6.3e-08,6.3e-08,0,0
9.4073e+06,1,6.35e-08,6.35e-08,0,0
9.3735e+06,1,6.4e-08,6.4e-08,0,0
9.3398e+06,1,6.45e-08,6.45e-08,0,0
9.3063e+06,1,6.5e-08,6.5e-08,0,0
9.2728e+06,1,6.55e-08,6.55e-08,0,0
9.2395e+06,1,6.6e-08,6.6e-08,0,0
9.2063e+06,1,6.65e-08,6.65e-08,0,0
9.1734e+06,1,6.7e-08,6.7e-08,0,0
9.1405e+06,1,6.75e-08,6.75e-08,0,0
9.1078e+06,1,6.8e-08,6.8e-08,0,0
9.0752e+06,1,6.85e-08,6.85e-08,0,0
9.0427e+06,1,6.9e-08,6.9e-08,0,0
9.0104e+06,1,6.95e-08,6.95e-08,0,0
8.9782e+06,1,7e-08,7e-08,0,0
8.9462e+06,1,7.05e-08,7.05e-08,0,0
8.9143e+06,1,7.1e-08,7.1e-08,0,0
8.8825e+06,1,7.15e-08,7.15e-08,0,0
8.8509e+06,1,7.2e-08,7.2e-08,0,0
8.8194e+06,1,7.25e-08,7.25e-08,0,0
8.788e+06,1,7.3e-08,7.3e-08,0,0
8.7568e+06,1,7.35e-08,7.35e-08,0,0
8.7257e+06,1,7.4e-08,7.4e-08,0,0
8.6947e+06,1,7.45e-08,7.45e-08,0,0
8.6638e+06,1,7.5e-08,7.5e-08,0,0
8.6332e+06,1,7.55e-08,7.55e-08,0,0
8.6026e+06,1,7.6e-08,7.6e-08,0,0
8.5722e+06,1,7.65e-08,7.65e-08,0,0
8.5418e+06,1,7.7e-08,7.7e-08,0,0
8.5117e+06,1,7.75e-08,7.75e-08,0,0
8.4816e+06,1,7.8e-08,7.8e-08,0,0
8.4517e+06,1,7.85e-08,7.85e-08,0,0
8.4219e+06,1,7.9e-08,7.9e-08,0,0
8.3923e+06,1,7.95e-08,7.95e-08,0,0
8.3627e+06,1,8e-08,8e-08,0,0
8.3334e+06,1,8.05e-08,8.05e-08,0,0
8.304e+06,1,8.1e-08,8.1e-08,0,0
8.2749e+06,1,8.15e-08,8.15e-08,0,0
8.2459e+06,1,8.2e-08,8.2e-08,0,0
8.217e+06,1,8.25e-08,8.25e-08,0,0
8.1882e+06,1,8.3e-08,8.3e-08,0,0
8.1596e+06,1,8.35e-08,8.35e-08,0,0
8.1311e+06,1,8.4e-08,8.4e-08,0,0
8.1027e+06,1,8.45e-08,8.45e-08,0,0
8.0744e+06,1,8.5e-08,8.5e-08,0,0
8.0463e+06,1,8.55e-08,8.55e-08,0,0
8.0183e+06,1,8.6e-08,8.6e-08,0,0
7.9904e+06,1,8.65e-08,8.65e-08,0,0
7.9626e+06,1,8.7e-08,8.7e-08,0,0
7.935e+06,1,8.75e-08,8.75e-08,0,0
7.9074e+06,1,8.8e-08,8.8e-08,0,0
7.88e+06,1,8.85e-08,8.85e-08,0,0
7.8527e+06,1,8.9e-08,8.9e-08,0,0
7.8256e+06,1,8.95e-08,8.95e-08,0,0
7.7985e+06,1,9e-08,9e-08,0,0
7.7716e+06,1,9.05e-08,9.05e-08,0,0
7.7448e+06,1,9.1e-08,9.1e-08,0,0
7.7181e+06,1,9.15e-08,9.15e-08,0,0
7.6915e+06,1,9.2e-08,9.2e-08,0,0
7.6651e+06,1,9.25e-08,9.25e-08,0,0
7.6387e+06,1,9.3e-08,9.3e-08,0,0
7.6125e+06,1,9.35e-08,9.35e-08,0,0
7.5864e+06,1,9.4e-08,9.4e-08,0,0
7.5604e+06,1,9.45e-08,9.45e-08,0,0
7.5345e+06,1,9.5e-08,9.5e-08,0,0
7.5087e+06,1,9.55e-08,9.55e-08,0,0
7.4831e+06,1,9.6e-08,9.6e-08,0,0
7.4576e+06,1,9.65e-08,9.65e-08,0,0
7.4321e+06,1,9.7e-08,9.7e-08,0,0
7.4068e+06,1,9.75e-08,9.75e-08,0,0
7.3816e+06,1,9.8e-08,9.8e-08,0,0
7.3565e+06,1,9.85e-08,9.85e-08,0,0
7.3316e+06,1,9.9e-08,9.9e-08,0,0
7.3067e+06,1,9.95e-08,9.95e-08,0,0
7.282e+06,1,1e-07,1e-07,0,0
7.2573e+06,1,1.005e-07,1.005e-07,0,0
7.2328e+06,1,1.01e-07,1.01e-07,0,0
7.2083e+06,1,1.015e-07,1.015e-07,0,0
7.1841e+06,1,1.02e-07,1.02e-07,0,0
7.1598e+06,1,1.025e-07,1.025e-07,0,0
7.1357e+06,1,1.03e-07,1.03e-07,0,0
7.1117e+06,1,1.035e-07,1.035e-07,0,0
7.0879e+06,1,1.04e-07,1.04e-07,0,0
7.064e+06,1,1.045e-07,1.045e-07,0,0
7.0404e+06,1,1.05e-07,1.05e-07,0,0
7.0168e+06,1,1.055e-07,1.055e-07,0,0
6.9934e+06,1,1.06e-07,1.06e-07,0,0
6.97e+06,1,1.065e-07,1.065e-07,0,0
6.9468e+06,1,1.07e-07,1.07e-07,0,0
6.9236e+06,1,1.075e-07,1.075e-07,0,0
6.9006e+06,1,1.08e-07,1.08e-07,0,0
6.8776e+06,1,1.085e-07,1.085e-07,0,0
6.8548e+06,1,1.09e-07,1.09e-07,0,0
6.832e+06,1,1.095e-07,1.095e-07,0,0
6.8094e+06,1,1.1e-07,1.1e-07,0,0
6.7868e+06,1,1.105e-07,1.105e-07,0,0
6.7644e+06,1,1.11e-07,1.11e-07,0,0
6.7421e+06,1,1.115e-07,1.115e-07,0,0
6.7199e+06,1,1.12e-07,1.12e-07,0,0
6.6977e+06,1,1.125e-07,1.125e-07,0,0
6.6757e+06,1,1.13e-07,1.13e-07,0,0
6.6537e+06,1,1.135e-07,1.135e-07,0,0
6.6319e+06,1,1.14e-07,1.14e-07,0,0
6.6101e+06,1,1.145e-07,1.145e-07,0,0
6.5885e+06,1,1.15e-07,1.15e-07,0,0
6.5669e+06,1,1.155e-07,1.155e-07,0,0
6.5455e+06,1,1.16e-07,1.16e-07,0,0
6.5241e+06,1,1.165e-07,1.165e-07,0,0
6.5029e+06,1,1.17e-07,1.17e-07,0,0
6.4817e+06,1,1.175e-07,1.175e-07,0,0
6.4606e+06,1,1.18e-07,1.18e-07,0,0
6.4396e+06,1,1.185e-07,1.185e-07,0,0
6.4187e+06,1,1.19e-07,1.19e-07,0,0
6.398e+06,1,1.195e-07,1.195e-07,0,0
6.3772e+06,1,1.2e-07,1.2e-07,0,0
